accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-0.04,-0.01,1.02,-0.22,0.5,-0.04
-0.04,-0.01,1.02,-0.17,0.47,-0.01
-0.04,-0.01,1.02,-0.22,0.47,-0.03
-0.03,-0.01,1.02,-0.26,0.48,0.0
-0.04,-0.01,1.02,-0.24,0.49,-0.01
-0.03,-0.01,1.02,-0.2,0.47,0.01
-0.04,-0.01,1.02,-0.24,0.6,0.03
-0.04,-0.01,1.02,-0.25,0.42,0.02
-0.04,-0.01,1.02,-0.2,0.41,0.0
-0.04,-0.01,1.02,-0.24,0.45,-0.05
-0.04,-0.01,1.02,-0.25,0.38,0.0
-0.04,-0.01,1.02,-0.19,0.47,0.01
-0.04,-0.01,1.02,-0.27,0.47,0.02
-0.04,-0.01,1.02,-0.2,0.52,0.0
-0.04,-0.01,1.02,-0.24,0.49,-0.05
-0.04,-0.01,1.02,-0.23,0.48,0.03
-0.04,-0.01,1.02,-0.16,0.54,0.0
-0.04,-0.01,1.02,-0.1,0.36,-0.03
-0.03,-0.01,1.02,-0.19,0.4,0.01
-0.04,-0.01,1.02,-0.2,0.53,-0.01
-0.04,-0.01,1.02,-0.18,0.53,-0.04
-0.04,-0.01,1.02,-0.17,0.37,-0.04
-0.04,-0.01,1.02,-0.26,0.55,-0.02
-0.03,-0.01,1.01,-0.18,0.55,-0.01
-0.04,-0.01,1.02,-0.2,0.46,0.01
-0.04,-0.01,1.02,-0.27,0.57,-0.03
-0.03,-0.01,1.02,-0.18,0.47,-0.04
-0.04,-0.01,1.02,-0.21,0.5,-0.03
-0.04,-0.01,1.02,-0.2,0.51,0.04
-0.04,-0.01,1.02,-0.27,0.45,0.01
-0.04,-0.01,1.02,-0.24,0.48,-0.05
-0.04,-0.01,1.02,-0.2,0.42,-0.02
-0.04,-0.01,1.02,-0.18,0.47,-0.02
-0.03,-0.01,1.02,-0.24,0.51,-0.04
-0.04,-0.01,1.02,-0.22,0.39,-0.02
-0.04,-0.01,1.02,-0.21,0.49,-0.03
-0.03,-0.01,1.02,-0.21,0.54,0.01
-0.04,-0.01,1.02,-0.29,0.51,0.0
-0.04,-0.01,1.02,-0.23,0.47,-0.01
-0.04,-0.01,1.02,-0.2,0.45,-0.01
-0.04,-0.01,1.02,-0.24,0.49,-0.03
-0.03,-0.01,1.02,-0.23,0.42,-0.03
-0.04,-0.01,1.04,-0.4,0.43,-0.01
-0.03,-0.01,1.02,-0.22,0.46,-0.03
-0.04,-0.01,1.02,-0.26,0.47,-0.04
-0.03,-0.01,1.02,-0.32,0.57,-0.04
-0.03,-0.01,1.02,-0.12,0.5,0.0
-0.04,-0.02,1.03,-0.32,0.52,0.01
-0.03,-0.01,1.02,-0.3,0.51,-0.01
-0.04,-0.01,1.03,-0.11,0.44,-0.07
-0.04,-0.01,1.01,-0.18,0.47,0.04
-0.03,-0.02,1.02,-0.39,0.53,0.01
-0.04,-0.01,1.02,-0.11,0.47,-0.04
-0.04,-0.01,1.02,-0.25,0.53,-0.02
-0.03,-0.01,1.02,-0.14,0.48,-0.04
-0.04,-0.01,1.02,-0.29,0.45,-0.03
-0.04,-0.01,1.02,-0.28,0.46,-0.02
-0.04,-0.01,1.02,-0.24,0.48,0.02
-0.04,-0.01,1.02,-0.22,0.46,0.01
-0.04,-0.01,1.02,-0.26,0.51,-0.05
-0.04,-0.01,1.02,-0.17,0.47,-0.02
-0.04,-0.01,1.02,-0.22,0.46,-0.04
-0.04,-0.01,1.02,-0.26,0.49,0.02
-0.04,-0.01,1.02,-0.16,0.52,-0.02
-0.04,-0.01,1.02,-0.2,0.5,-0.02
-0.04,-0.01,1.02,-0.25,0.54,0.01
-0.04,-0.01,1.02,-0.21,0.44,0.02
-0.04,-0.01,1.02,-0.18,0.46,0.01
-0.04,-0.01,1.02,-0.2,0.57,-0.06
-0.04,-0.01,1.02,-0.2,0.42,0.01
-0.04,-0.01,1.02,-0.22,0.53,-0.05
-0.04,-0.01,1.02,-0.22,0.46,-0.02
-0.04,-0.01,1.02,-0.24,0.46,-0.01
-0.04,-0.01,1.02,-0.21,0.46,-0.02
-0.03,-0.01,1.02,-0.25,0.41,0.02
-0.04,-0.01,1.02,-0.21,0.39,-0.02
-0.04,-0.01,1.02,-0.28,0.49,-0.04
-0.04,-0.01,1.02,-0.25,0.41,0.03
-0.04,-0.01,1.02,-0.2,0.54,-0.03
-0.04,-0.01,1.02,-0.22,0.5,-0.02
-0.04,-0.01,1.02,-0.2,0.5,-0.01
-0.04,-0.01,1.02,-0.19,0.53,-0.01
-0.04,-0.01,1.02,-0.21,0.51,-0.04
-0.04,-0.01,1.02,-0.22,0.55,-0.04
-0.03,-0.01,1.02,-0.23,0.47,0.01
-0.04,-0.01,1.02,-0.24,0.47,-0.03
-0.04,-0.01,1.02,-0.22,0.5,0.02
-0.04,-0.01,1.02,-0.27,0.47,-0.03
-0.04,-0.01,1.02,-0.2,0.51,0.01
-0.04,-0.01,1.02,-0.2,0.46,-0.02
-0.04,-0.01,1.02,-0.23,0.5,0.04
-0.04,-0.01,1.02,-0.21,0.55,-0.04
-0.04,-0.01,1.02,-0.22,0.5,-0.01
-0.04,-0.01,1.02,-0.26,0.53,0.02
-0.04,-0.01,1.02,-0.25,0.43,-0.02
-0.04,-0.01,1.02,-0.22,0.46,0.0
